Sesso;Età;Osservazione
Maschi;0 anni;203968
Maschi;1 anni;206457
Maschi;2 anni;211046
Maschi;3 anni;219154
Maschi;4 anni;229863
Maschi;5 anni;240259
Maschi;6 anni;246571
Maschi;7 anni;253188
Maschi;8 anni;260787
Maschi;9 anni;264658
Maschi;10 anni;276098
Maschi;11 anni;281024
Maschi;12 anni;289472
Maschi;13 anni;293739
Maschi;14 anni;297046
Maschi;15 anni;297391
Maschi;16 anni;298599
Maschi;17 anni;297619
Maschi;18 anni;301360
Maschi;19 anni;297279
Maschi;20 anni;296590
Maschi;21 anni;301836
Maschi;22 anni;310282
Maschi;23 anni;309038
Maschi;24 anni;313299
Maschi;25 anni;310157
Maschi;26 anni;310103
Maschi;27 anni;307623
Maschi;28 anni;308862
Maschi;29 anni;312660
Maschi;30 anni;325236
Maschi;31 anni;323031
Maschi;32 anni;329611
Maschi;33 anni;326191
Maschi;34 anni;334613
Maschi;35 anni;327153
Maschi;36 anni;328128
Maschi;37 anni;337305
Maschi;38 anni;343828
Maschi;39 anni;349785
Maschi;40 anni;361013
Maschi;41 anni;362289
Maschi;42 anni;372574
Maschi;43 anni;382249
Maschi;44 anni;402539
Maschi;45 anni;414240
Maschi;46 anni;431937
Maschi;47 anni;451742
Maschi;48 anni;469420
Maschi;49 anni;465152
Maschi;50 anni;470049
Maschi;51 anni;472221
Maschi;52 anni;467571
Maschi;53 anni;478695
Maschi;54 anni;473639
Maschi;55 anni;473758
Maschi;56 anni;478635
Maschi;57 anni;476139
Maschi;58 anni;480494
Maschi;59 anni;446897
Maschi;60 anni;428978
Maschi;61 anni;417506
Maschi;62 anni;402654
Maschi;63 anni;390399
Maschi;64 anni;369644
Maschi;65 anni;363179
Maschi;66 anni;353413
Maschi;67 anni;343776
Maschi;68 anni;334882
Maschi;69 anni;318050
Maschi;70 anni;308681
Maschi;71 anni;304078
Maschi;72 anni;310891
Maschi;73 anni;308022
Maschi;74 anni;314675
Maschi;75 anni;301503
Maschi;76 anni;293180
Maschi;77 anni;219447
Maschi;78 anni;218824
Maschi;79 anni;211157
Maschi;80 anni;201268
Maschi;81 anni;193453
Maschi;82 anni;201945
Maschi;83 anni;187588
Maschi;84 anni;168211
Maschi;85 anni;142338
Maschi;86 anni;119197
Maschi;87 anni;108884
Maschi;88 anni;91756
Maschi;89 anni;75908
Maschi;90 anni;61012
Maschi;91 anni;49910
Maschi;92 anni;40758
Maschi;93 anni;28824
Maschi;94 anni;20835
Maschi;95 anni;14946
Maschi;96 anni;9997
Maschi;97 anni;6589
Maschi;98 anni;4276
Maschi;99 anni;2833
Maschi;100 anni e più;3730
Maschi;Totale;28749359
Femmine;0 anni;191380
Femmine;1 anni;195997
Femmine;2 anni;198677
Femmine;3 anni;208065
Femmine;4 anni;216861
Femmine;5 anni;226363
Femmine;6 anni;233760
Femmine;7 anni;239251
Femmine;8 anni;246234
Femmine;9 anni;249747
Femmine;10 anni;260586
Femmine;11 anni;264859
Femmine;12 anni;271991
Femmine;13 anni;276509
Femmine;14 anni;280564
Femmine;15 anni;279163
Femmine;16 anni;279585
Femmine;17 anni;278059
Femmine;18 anni;282489
Femmine;19 anni;276671
Femmine;20 anni;275530
Femmine;21 anni;279003
Femmine;22 anni;283722
Femmine;23 anni;280571
Femmine;24 anni;281686
Femmine;25 anni;283161
Femmine;26 anni;284913
Femmine;27 anni;284758
Femmine;28 anni;289601
Femmine;29 anni;296419
Femmine;30 anni;309268
Femmine;31 anni;309785
Femmine;32 anni;315784
Femmine;33 anni;317416
Femmine;34 anni;325045
Femmine;35 anni;320066
Femmine;36 anni;322291
Femmine;37 anni;333188
Femmine;38 anni;339842
Femmine;39 anni;346020
Femmine;40 anni;358824
Femmine;41 anni;361856
Femmine;42 anni;369601
Femmine;43 anni;383228
Femmine;44 anni;402930
Femmine;45 anni;417360
Femmine;46 anni;435408
Femmine;47 anni;456290
Femmine;48 anni;474509
Femmine;49 anni;472809
Femmine;50 anni;476472
Femmine;51 anni;482685
Femmine;52 anni;477896
Femmine;53 anni;490749
Femmine;54 anni;486960
Femmine;55 anni;489725
Femmine;56 anni;492662
Femmine;57 anni;491233
Femmine;58 anni;497652
Femmine;59 anni;468467
Femmine;60 anni;452536
Femmine;61 anni;443210
Femmine;62 anni;428559
Femmine;63 anni;416976
Femmine;64 anni;398452
Femmine;65 anni;393494
Femmine;66 anni;384653
Femmine;67 anni;376658
Femmine;68 anni;370081
Femmine;69 anni;351087
Femmine;70 anni;345131
Femmine;71 anni;342402
Femmine;72 anni;352672
Femmine;73 anni;352094
Femmine;74 anni;365225
Femmine;75 anni;352934
Femmine;76 anni;349678
Femmine;77 anni;266926
Femmine;78 anni;271183
Femmine;79 anni;270025
Femmine;80 anni;262849
Femmine;81 anni;259038
Femmine;82 anni;277199
Femmine;83 anni;263259
Femmine;84 anni;245218
Femmine;85 anni;215135
Femmine;86 anni;190403
Femmine;87 anni;181089
Femmine;88 anni;161696
Femmine;89 anni;141340
Femmine;90 anni;122465
Femmine;91 anni;105894
Femmine;92 anni;94138
Femmine;93 anni;71772
Femmine;94 anni;56802
Femmine;95 anni;43936
Femmine;96 anni;32626
Femmine;97 anni;23767
Femmine;98 anni;16723
Femmine;99 anni;11695
Femmine;100 anni e più;18142
Femmine;Totale;30101358
Totale;0 anni;395348
Totale;1 anni;402454
Totale;2 anni;409723
Totale;3 anni;427219
Totale;4 anni;446724
Totale;5 anni;466622
Totale;6 anni;480331
Totale;7 anni;492439
Totale;8 anni;507021
Totale;9 anni;514405
Totale;10 anni;536684
Totale;11 anni;545883
Totale;12 anni;561463
Totale;13 anni;570248
Totale;14 anni;577610
Totale;15 anni;576554
Totale;16 anni;578184
Totale;17 anni;575678
Totale;18 anni;583849
Totale;19 anni;573950
Totale;20 anni;572120
Totale;21 anni;580839
Totale;22 anni;594004
Totale;23 anni;589609
Totale;24 anni;594985
Totale;25 anni;593318
Totale;26 anni;595016
Totale;27 anni;592381
Totale;28 anni;598463
Totale;29 anni;609079
Totale;30 anni;634504
Totale;31 anni;632816
Totale;32 anni;645395
Totale;33 anni;643607
Totale;34 anni;659658
Totale;35 anni;647219
Totale;36 anni;650419
Totale;37 anni;670493
Totale;38 anni;683670
Totale;39 anni;695805
Totale;40 anni;719837
Totale;41 anni;724145
Totale;42 anni;742175
Totale;43 anni;765477
Totale;44 anni;805469
Totale;45 anni;831600
Totale;46 anni;867345
Totale;47 anni;908032
Totale;48 anni;943929
Totale;49 anni;937961
Totale;50 anni;946521
Totale;51 anni;954906
Totale;52 anni;945467
Totale;53 anni;969444
