FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,Tempo (TIME_PERIOD),Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y0,0 anni,99,Totale,2023,203968,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y1,1 anni,99,Totale,2023,206457,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y2,2 anni,99,Totale,2023,211046,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y3,3 anni,99,Totale,2023,219154,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y4,4 anni,99,Totale,2023,229863,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y5,5 anni,99,Totale,2023,240259,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y6,6 anni,99,Totale,2023,246571,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y7,7 anni,99,Totale,2023,253188,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y8,8 anni,99,Totale,2023,260787,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y9,9 anni,99,Totale,2023,264658,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y10,10 anni,99,Totale,2023,276098,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y11,11 anni,99,Totale,2023,281024,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y12,12 anni,99,Totale,2023,289472,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y13,13 anni,99,Totale,2023,293739,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y14,14 anni,99,Totale,2023,297046,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y15,15 anni,99,Totale,2023,297391,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y16,16 anni,99,Totale,2023,298599,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y17,17 anni,99,Totale,2023,297619,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y18,18 anni,99,Totale,2023,301360,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y19,19 anni,99,Totale,2023,297279,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y20,20 anni,99,Totale,2023,296590,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y21,21 anni,99,Totale,2023,301836,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y22,22 anni,99,Totale,2023,310282,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y23,23 anni,99,Totale,2023,309038,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y24,24 anni,99,Totale,2023,313299,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y25,25 anni,99,Totale,2023,310157,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y26,26 anni,99,Totale,2023,310103,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y27,27 anni,99,Totale,2023,307623,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y28,28 anni,99,Totale,2023,308862,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y29,29 anni,99,Totale,2023,312660,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y30,30 anni,99,Totale,2023,325236,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y31,31 anni,99,Totale,2023,323031,e,Dato stimato
